Run will be saved under: ./run_outputs/run_2000_to_2000-06-30

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 10928078, isPK: False, prob: 0.5523557066917419>
<pmid: 10928065, isPK: True, prob: 0.999993085861206>
<pmid: 10927171, isPK: False, prob: 0.0008229519007727504>
<pmid: 10925953, isPK: False, prob: 0.0011045681312680244>
<pmid: 10919329, isPK: False, prob: 0.0014865671982988715>
<pmid: 10919075, isPK: False, prob: 0.00129393907263875>
<pmid: 10918994, isPK: True, prob: 0.7920234799385071>
<pmid: 10918954, isPK: True, prob: 0.8543290495872498>
<pmid: 10917389, isPK: True, prob: 0.9999656677246094>
<pmid: 10923861, isPK: True, prob: 0.9999805688858032>
<pmid: 10921481, isPK: False, prob: 0.0005709678516723216>
<pmid: 10921477, isPK: True, prob: 0.9999939203262329>
<pmid: 10921416, isPK: False, prob: 0.0009433082304894924>
<pmid: 10915586, isPK: True, prob: 0.9999845027923584>
<pmid: 10913720, isPK: True, prob: 0.9999904632568359>
<pmid: 10913714, isPK: True, prob: 0.9999933242797852>
<pmid: 10912949, isPK: True, prob: 0.999990701675415>
<pmid: 10912581, isPK: True, prob: 0.9475295543670654>
<pmid: 10912576, isPK: True, prob: 0.9999933242797852>
<pmid: 10912241, isPK: True, prob: 0.9999936819076538>
<pmid: 10912238, isPK: False, prob: 0.007404205854982138>
<pmid: 10911932, isPK: False, prob: 0.008070644922554493>
<pmid: 10911648, isPK: True, prob: 0.9999884366989136>
<pmid: 10911645, isPK: True, prob: 0.999976634979248>
<pmid: 10909122, isPK: True, prob: 0.9999737739562988>
<pmid: 10907851, isPK: False, prob: 0.0010985834524035454>
<pmid: 10907850, isPK: False, prob: 0.0009078956209123135>
<pmid: 10907849, isPK: False, prob: 0.0009982517221942544>
<pmid: 10907847, isPK: False, prob: 0.0014330401318147779>
<pmid: 10907538, isPK: False, prob: 0.00099676672834903>
<pmid: 10907227, isPK: False, prob: 0.0068445815704762936>
<pmid: 10906412, isPK: False, prob: 0.000879125262144953>
<pmid: 10905771, isPK: False, prob: 0.5371416807174683>
<pmid: 10905505, isPK: False, prob: 0.0006122300401329994>
<pmid: 10905374, isPK: False, prob: 0.0010883258655667305>
<pmid: 10904945, isPK: False, prob: 0.0012433923548087478>
<pmid: 10904729, isPK: False, prob: 0.0015243204543367028>
<pmid: 10886464, isPK: True, prob: 0.9999892711639404>
<pmid: 10902525, isPK: True, prob: 0.9995052814483643>
<pmid: 10901498, isPK: False, prob: 0.3365882635116577>
<pmid: 10901462, isPK: True, prob: 0.9999895095825195>
<pmid: 10901461, isPK: True, prob: 0.999902606010437>
<pmid: 10900553, isPK: False, prob: 0.0028221430256962776>
<pmid: 10899352, isPK: False, prob: 0.0009676144691184163>
<pmid: 10898534, isPK: False, prob: 0.0008553705993108451>
<pmid: 10898231, isPK: False, prob: 0.001293295994400978>
<pmid: 10898094, isPK: False, prob: 0.0012651701690629125>
<pmid: 10895415, isPK: False, prob: 0.0006745044956915081>
<pmid: 10895181, isPK: False, prob: 0.000568508985452354>
<pmid: 10894566, isPK: False, prob: 0.027112089097499847>
<pmid: 10894562, isPK: True, prob: 0.9999860525131226>
<pmid: 10894555, isPK: True, prob: 0.9998632669448853>
<pmid: 10894464, isPK: False, prob: 0.004426416475325823>
<pmid: 10894463, isPK: True, prob: 0.9999887943267822>
<pmid: 10894173, isPK: True, prob: 0.9999934434890747>
<pmid: 10893076, isPK: False, prob: 0.0014608984347432852>
<pmid: 10892591, isPK: True, prob: 0.999993085861206>
<pmid: 10892407, isPK: False, prob: 0.00210895505733788>
<pmid: 10891117, isPK: True, prob: 0.7094398140907288>
<pmid: 10890577, isPK: True, prob: 0.9999880790710449>
<pmid: 10890213, isPK: False, prob: 0.0057847038842737675>
<pmid: 10890030, isPK: True, prob: 0.9987149238586426>
<pmid: 10888574, isPK: False, prob: 0.0007787357899360359>
<pmid: 10888315, isPK: False, prob: 0.0010183763224631548>
<pmid: 10888313, isPK: False, prob: 0.0012737008510157466>
<pmid: 10888311, isPK: True, prob: 0.999992847442627>
<pmid: 10888310, isPK: True, prob: 0.9999895095825195>
<pmid: 10888307, isPK: True, prob: 0.9999933242797852>
<pmid: 10886334, isPK: False, prob: 0.0008092136704362929>
<pmid: 10885886, isPK: True, prob: 0.9997872710227966>
<pmid: 10885587, isPK: True, prob: 0.9999829530715942>
<pmid: 10885585, isPK: True, prob: 0.999990701675415>
<pmid: 10885427, isPK: False, prob: 0.0010155601194128394>
<pmid: 10884742, isPK: True, prob: 0.9886131286621094>
<pmid: 10882816, isPK: True, prob: 0.9999707937240601>
<pmid: 10882357, isPK: False, prob: 0.0006227229605428874>
<pmid: 10882141, isPK: False, prob: 0.0008802954107522964>
<pmid: 10882103, isPK: False, prob: 0.0009215345489792526>
<pmid: 10882072, isPK: False, prob: 0.0006098342128098011>
<pmid: 10882071, isPK: False, prob: 0.0009078852599486709>
<pmid: 10882038, isPK: False, prob: 0.002505516866222024>
<pmid: 10881839, isPK: False, prob: 0.012794914655387402>
<pmid: 10881590, isPK: True, prob: 0.9999926090240479>
<pmid: 10881249, isPK: True, prob: 0.6591078639030457>
<pmid: 10880830, isPK: False, prob: 0.001039071474224329>
<pmid: 10880702, isPK: True, prob: 0.9848673939704895>
<pmid: 10880142, isPK: False, prob: 0.0011744461953639984>
<pmid: 10880141, isPK: True, prob: 0.9999914169311523>
<pmid: 10880138, isPK: True, prob: 0.9999940395355225>
<pmid: 10877606, isPK: False, prob: 0.0013084318488836288>
<pmid: 10877517, isPK: True, prob: 0.9999873638153076>
<pmid: 10877472, isPK: False, prob: 0.0010393070988357067>
<pmid: 10877291, isPK: True, prob: 0.9999450445175171>
<pmid: 10877068, isPK: True, prob: 0.7705753445625305>
<pmid: 10875723, isPK: True, prob: 0.9999915361404419>
<pmid: 10875685, isPK: True, prob: 0.9999881982803345>
<pmid: 10875683, isPK: True, prob: 0.9999762773513794>
<pmid: 10875542, isPK: False, prob: 0.0008598685381002724>
<pmid: 10875535, isPK: False, prob: 0.0011981757124885917>
<pmid: 10875458, isPK: True, prob: 0.9990731477737427>
<pmid: 10874703, isPK: True, prob: 0.9999914169311523>
<pmid: 10874700, isPK: False, prob: 0.0014921074034646153>
<pmid: 10873711, isPK: True, prob: 0.9999911785125732>
<pmid: 10873079, isPK: True, prob: 0.9999191761016846>
<pmid: 10872853, isPK: False, prob: 0.003832215676084161>
<pmid: 10872829, isPK: True, prob: 0.9998751878738403>
<pmid: 10872646, isPK: True, prob: 0.9999924898147583>
<pmid: 10872644, isPK: True, prob: 0.9999935626983643>
<pmid: 10872643, isPK: True, prob: 0.99998939037323>
<pmid: 10872642, isPK: True, prob: 0.9999754428863525>
<pmid: 10872641, isPK: True, prob: 0.9999922513961792>
<pmid: 10872178, isPK: False, prob: 0.0008074524812400341>
<pmid: 10871195, isPK: True, prob: 0.9999866485595703>
<pmid: 10870985, isPK: True, prob: 0.9999933242797852>
<pmid: 10870845, isPK: False, prob: 0.0012217240873724222>
<pmid: 10870844, isPK: False, prob: 0.0007288911147043109>
<pmid: 10870515, isPK: False, prob: 0.0014724396169185638>
<pmid: 10870180, isPK: True, prob: 0.9934333562850952>
<pmid: 10869859, isPK: False, prob: 0.0007519563077948987>
<pmid: 10869414, isPK: False, prob: 0.0012228458654135466>
<pmid: 10869374, isPK: True, prob: 0.9999932050704956>
<pmid: 10868854, isPK: False, prob: 0.0008462697151117027>
<pmid: 10868826, isPK: False, prob: 0.0010668783215805888>
<pmid: 10868691, isPK: False, prob: 0.0005156118422746658>
<pmid: 10868655, isPK: False, prob: 0.0009678690112195909>
<pmid: 10868479, isPK: False, prob: 0.0006236429326236248>
<pmid: 10868298, isPK: True, prob: 0.9999740123748779>
<pmid: 10867703, isPK: True, prob: 0.9999916553497314>
<pmid: 10867424, isPK: False, prob: 0.0011093001812696457>
<pmid: 10867261, isPK: False, prob: 0.0008263929630629718>
<pmid: 10867256, isPK: True, prob: 0.9999487400054932>
<pmid: 10867245, isPK: False, prob: 0.0029030581936240196>
<pmid: 10867025, isPK: False, prob: 0.0009222003864124417>
<pmid: 10866619, isPK: False, prob: 0.0007926773396320641>
<pmid: 10865991, isPK: False, prob: 0.2599215507507324>
<pmid: 10864783, isPK: False, prob: 0.0009937878930941224>
<pmid: 10864225, isPK: False, prob: 0.0008894014172255993>
<pmid: 10864094, isPK: False, prob: 0.0008699432946741581>
<pmid: 10864014, isPK: False, prob: 0.004201972391456366>
<pmid: 10864012, isPK: False, prob: 0.011092348024249077>
<pmid: 10863699, isPK: False, prob: 0.00146889453753829>
<pmid: 10863542, isPK: False, prob: 0.0008784867823123932>
<pmid: 10862554, isPK: True, prob: 0.9988223910331726>
<pmid: 10862525, isPK: True, prob: 0.9999910593032837>
<pmid: 10862070, isPK: False, prob: 0.0013339465949684381>
<pmid: 10861982, isPK: False, prob: 0.5863405466079712>
<pmid: 10861951, isPK: False, prob: 0.0031622792594134808>
<pmid: 10861754, isPK: True, prob: 0.9999942779541016>
<pmid: 10861740, isPK: True, prob: 0.9999936819076538>
<pmid: 10861418, isPK: True, prob: 0.9983819723129272>
<pmid: 10860586, isPK: True, prob: 0.9999943971633911>
<pmid: 10860019, isPK: True, prob: 0.9972684383392334>
<pmid: 10859693, isPK: True, prob: 0.78138667345047>
<pmid: 10859293, isPK: False, prob: 0.0008673460688441992>
<pmid: 10858966, isPK: False, prob: 0.0008751536370255053>
<pmid: 10858874, isPK: False, prob: 0.0012411586940288544>
<pmid: 10858502, isPK: True, prob: 0.9998306035995483>
<pmid: 10858410, isPK: True, prob: 0.6746435165405273>
<pmid: 10858320, isPK: True, prob: 0.9887378215789795>
<pmid: 10857911, isPK: False, prob: 0.0009920194279402494>
<pmid: 10857384, isPK: True, prob: 0.9993696808815002>
<pmid: 10857372, isPK: False, prob: 0.0012335606152191758>
<pmid: 10857008, isPK: True, prob: 0.99662184715271>
<pmid: 10856681, isPK: True, prob: 0.9999942779541016>
<pmid: 10856450, isPK: False, prob: 0.00088317203335464>
<pmid: 10856385, isPK: True, prob: 0.9969334602355957>
<pmid: 10856188, isPK: False, prob: 0.002279098378494382>
<pmid: 10856106, isPK: True, prob: 0.9999929666519165>
<pmid: 10856023, isPK: True, prob: 0.9999884366989136>
<pmid: 10855673, isPK: True, prob: 0.9999812841415405>
<pmid: 10855029, isPK: True, prob: 0.9999943971633911>
<pmid: 10854834, isPK: True, prob: 0.9999613761901855>
<pmid: 10854706, isPK: True, prob: 0.9999946355819702>
<pmid: 10854693, isPK: False, prob: 0.0005739822518080473>
<pmid: 10854208, isPK: False, prob: 0.0010294649982824922>
<pmid: 10854207, isPK: False, prob: 0.0005390697624534369>
<pmid: 10854152, isPK: False, prob: 0.0008240171591751277>
<pmid: 10854138, isPK: True, prob: 0.999992847442627>
<pmid: 10854137, isPK: True, prob: 0.9999934434890747>
<pmid: 10854134, isPK: False, prob: 0.0008556225220672786>
<pmid: 10854133, isPK: True, prob: 0.9999901056289673>
<pmid: 10854125, isPK: True, prob: 0.9999358654022217>
<pmid: 10853882, isPK: True, prob: 0.9999887943267822>
<pmid: 10853876, isPK: True, prob: 0.9999935626983643>
<pmid: 10853823, isPK: False, prob: 0.000889889954123646>
<pmid: 10853805, isPK: False, prob: 0.0020828936249017715>
<pmid: 10853648, isPK: False, prob: 0.0007540355436503887>
<pmid: 10853618, isPK: True, prob: 0.999993085861206>
<pmid: 10853284, isPK: True, prob: 0.9999916553497314>
<pmid: 10852848, isPK: True, prob: 0.9999744892120361>
<pmid: 10852840, isPK: False, prob: 0.024329250678420067>
<pmid: 10852615, isPK: False, prob: 0.0011545578017830849>
<pmid: 10852593, isPK: False, prob: 0.0009586730157025158>
<pmid: 10852503, isPK: False, prob: 0.001320407260209322>
<pmid: 10852344, isPK: False, prob: 0.0008625411428511143>
<pmid: 10852246, isPK: False, prob: 0.0009664822136983275>
<pmid: 10851846, isPK: False, prob: 0.0054078358225524426>
<pmid: 10851806, isPK: False, prob: 0.6458318829536438>
<pmid: 10845702, isPK: False, prob: 0.4440513253211975>
<pmid: 10845694, isPK: True, prob: 0.9992128610610962>
<pmid: 10845693, isPK: True, prob: 0.9997453093528748>
<pmid: 10845692, isPK: False, prob: 0.004816707689315081>
<pmid: 10845684, isPK: False, prob: 0.5648811459541321>
<pmid: 10845444, isPK: True, prob: 0.9998648166656494>
<pmid: 10844133, isPK: False, prob: 0.0020200421568006277>
<pmid: 10844103, isPK: False, prob: 0.0009912664536386728>
<pmid: 10850849, isPK: True, prob: 0.9999947547912598>
<pmid: 10850522, isPK: True, prob: 0.9999922513961792>
<pmid: 10850444, isPK: False, prob: 0.0017233617836609483>
<pmid: 10850432, isPK: False, prob: 0.0006403465522453189>
<pmid: 10850405, isPK: True, prob: 0.9999924898147583>
